name,genre,released,score,star,country,budget,gross,star2,star3
Confessions of a Dangerous Mind,Biography,"January 24, 2003 (United States)",7.0,Sam Rockwell,United States,30000000,33013805,Nicole Kidman,Tom Cruise
Kung Pow: Enter the Fist,Action,"January 25, 2002 (United States)",6.2,Steve Oedekerk,United States,10000000,16994625,Jake Gyllenhaal,Mark Ruffalo
Hero,Action,"August 27, 2004 (United States)",7.9,Jet Li,China,31000000,177395557,Rachel McAdams,Ryan Gosling
Star Trek: Nemesis,Action,"December 13, 2002 (United States)",6.4,Patrick Stewart,United States,60000000,67336470,Will Smith,Reese Witherspoon
Eight Legged Freaks,Action,"July 17, 2002 (United States)",5.4,David Arquette,United States,30000000,45867333,Jake Gyllenhaal,Jake Gyllenhaal
Queen of the Damned,Drama,"February 22, 2002 (United States)",5.3,Aaliyah,United States,35000000,45479110,Nicole Kidman,Octavia Spencer
Femme Fatale,Crime,"November 6, 2002 (United States)",6.2,Rebecca Romijn,France,35000000,16838910,Samuel L. Jackson,Tilda Swinton
The Hours,Drama,"February 14, 2003 (United States)",7.5,Meryl Streep,United States,25000000,108846072,Kate Winslet,Daniel Day-Lewis
40 Days and 40 Nights,Comedy,"March 1, 2002 (United States)",5.6,Josh Hartnett,United Kingdom,17000000,95146283,Tilda Swinton,Chris Evans
One Hour Photo,Drama,"September 13, 2002 (United States)",6.8,Robin Williams,United States,12000000,52223306,Morgan Freeman,Hugh Jackman
Cabin Fever,Horror,"September 12, 2003 (United States)",5.6,Jordan Ladd,United States,1500000,30553394,Angelina Jolie,Tom Cruise
The New Guy,Comedy,"May 10, 2002 (United States)",5.9,DJ Qualls,United States,13000000,31167388,Helen Mirren,Johnny Depp
Orange County,Comedy,"January 11, 2002 (United States)",6.2,Colin Hanks,United States,18000000,43325009,Brad Pitt,Octavia Spencer
Mr. Deeds,Comedy,"June 28, 2002 (United States)",5.8,Adam Sandler,United States,50000000,171269535,Javier Bardem,Joaquin Phoenix
John Q,Crime,"February 15, 2002 (United States)",7.1,Denzel Washington,United States,36000000,102244770,Angelina Jolie,Christian Bale
Crossroads,Comedy,"February 15, 2002 (United States)",3.6,Britney Spears,United States,12000000,61141030,Will Smith,Octavia Spencer
25th Hour,Drama,"January 10, 2003 (United States)",7.6,Edward Norton,United States,5000000,23932055,Will Smith,Charlize Theron
Infernal Affairs,Action,"December 12, 2002 (Hong Kong)",8.0,Andy Lau,Hong Kong,6428966,8836958,Christian Bale,Lupita Nyong'o
Solaris,Drama,"November 27, 2002 (United States)",6.2,George Clooney,United States,47000000,30002758,Emily Blunt,Emily Blunt
Like Mike,Comedy,"July 3, 2002 (United States)",5.3,Shad Moss,United States,30000000,62274780,Hugh Jackman,Morgan Freeman
The Rules of Attraction,Comedy,"October 11, 2002 (United States)",6.6,James Van Der Beek,United States,4000000,11832822,Scarlett Johansson,Anne Hathaway
I Spy,Action,"November 1, 2002 (United States)",5.4,Eddie Murphy,United States,70000000,51386477,Idris Elba,Jennifer Aniston
The Mothman Prophecies,Drama,"January 25, 2002 (United States)",6.4,Richard Gere,United States,32000000,55305279,Anne Hathaway,Kate Winslet
Antwone Fisher,Biography,"January 10, 2003 (United States)",7.3,Denzel Washington,United States,12500000,23367586,Cate Blanchett,Jake Gyllenhaal
The Good Girl,Drama,"August 30, 2002 (United States)",6.4,Jennifer Aniston,United States,8000000,16860964,Rachel McAdams,Tilda Swinton
Spun,Comedy,"February 7, 2003 (Norway)",6.8,Jason Schwartzman,United States,2000000,685608,Angelina Jolie,Kate Winslet
Sympathy for Mr. Vengeance,Crime,"March 29, 2002 (South Korea)",7.6,Kang-ho Song,South Korea,4000000,2046061,George Clooney,Chris Evans
Enough,Crime,"May 24, 2002 (United States)",5.8,Jennifer Lopez,United States,38000000,51806184,Idris Elba,Marion Cotillard
High Crimes,Crime,"April 5, 2002 (United States)",6.4,Jim Caviezel,United States,42000000,63781810,Reese Witherspoon,Helen Mirren
Two Weeks Notice,Comedy,"December 20, 2002 (United States)",6.1,Sandra Bullock,United States,60000000,199043471,Mark Ruffalo,Benedict Cumberbatch
Death to Smoochy,Comedy,"March 29, 2002 (United States)",6.3,Robin Williams,United Kingdom,50000000,8382938,Kate Winslet,Daniel Day-Lewis
The Four Feathers,Action,"September 20, 2002 (United States)",6.5,Heath Ledger,United Kingdom,35000000,29882645,Colin Firth,Colin Firth
Better Luck Tomorrow,Crime,"April 25, 2003 (United States)",7.0,Parry Shen,United States,250000,3809226,Matt Damon,Natalie Portman
Big Fat Liar,Adventure,"February 8, 2002 (United States)",5.5,Frankie Muniz,United States,15000000,52970014,Jake Gyllenhaal,Charlize Theron
About Schmidt,Comedy,"January 3, 2003 (United States)",7.1,Jack Nicholson,United States,30000000,105834556,Julia Roberts,Lupita Nyong'o
The Master of Disguise,Adventure,"August 2, 2002 (United States)",3.3,Dana Carvey,United States,16000000,43411001,Benedict Cumberbatch,Viola Davis
Drumline,Comedy,"December 13, 2002 (United States)",5.9,Nick Cannon,United States,20000000,57588485,Scarlett Johansson,Jake Gyllenhaal
Halloween: Resurrection,Horror,"July 12, 2002 (United States)",4.0,Jamie Lee Curtis,United States,13000000,37664855,Brad Pitt,Joaquin Phoenix
Windtalkers,Action,"June 14, 2002 (United States)",6.1,Nicolas Cage,United States,115000000,77628265,Morgan Freeman,Idris Elba
Friday After Next,Comedy,"November 22, 2002 (United States)",5.8,Ice Cube,United States,10000000,33526835,Saoirse Ronan,Octavia Spencer
Eye See You,Crime,"January 17, 2002 (Germany)",5.3,Sylvester Stallone,Germany,55000000,6632383,Angelina Jolie,Saoirse Ronan
Undercover Brother,Action,"May 31, 2002 (United States)",5.9,Eddie Griffin,United States,25000000,41604473,Chris Evans,Saoirse Ronan
Spy Kids 2: Island of Lost Dreams,Action,"August 7, 2002 (United States)",5.2,Alexa PenaVega,United States,38000000,119723358,Hugh Jackman,Mark Ruffalo
Tuck Everlasting,Drama,"October 11, 2002 (United States)",6.6,Alexis Bledel,United States,15000000,19344615,Julia Roberts,Marion Cotillard
The Rookie,Drama,"March 29, 2002 (United States)",6.9,Dennis Quaid,United States,22000000,80693537,Javier Bardem,Saoirse Ronan
Murder by Numbers,Crime,"April 19, 2002 (United States)",6.2,Sandra Bullock,United States,50000000,56714147,Ryan Gosling,Tom Cruise
Hart's War,Drama,"February 15, 2002 (United States)",6.3,Bruce Willis,United States,70000000,32287044,Matt Damon,Leonardo DiCaprio
Swept Away,Comedy,"October 11, 2002 (United States)",3.6,Madonna,United Kingdom,10000000,1036520,Matt Damon,Lupita Nyong'o
May,Comedy,"April 11, 2003 (Denmark)",6.6,Angela Bettis,United States,500000,264349,Joaquin Phoenix,Jennifer Aniston
Dragonfly,Drama,"February 22, 2002 (United States)",6.1,Kevin Costner,United States,60000000,52323400,Cate Blanchett,Scarlett Johansson
Juwanna Mann,Comedy,"June 21, 2002 (United States)",4.6,Miguel A. Núñez Jr.,United States,15600000,13802599,Tilda Swinton,Jake Gyllenhaal
Divine Secrets of the Ya-Ya Sisterhood,Drama,"June 7, 2002 (United States)",6.1,Sandra Bullock,United States,27000000,73839240,Idris Elba,Octavia Spencer
Dirty Pretty Things,Crime,"September 5, 2003 (United States)",7.3,Chiwetel Ejiofor,United Kingdom,10000000,13904766,Idris Elba,Christian Bale
The Tuxedo,Action,"September 27, 2002 (United States)",5.4,Jackie Chan,United States,60000000,104391623,Reese Witherspoon,Idris Elba
Swimfan,Drama,"September 6, 2002 (United States)",5.1,Jesse Bradford,United States,10000000,34411240,Nicole Kidman,Lupita Nyong'o
Serving Sara,Comedy,"August 23, 2002 (United States)",5.3,Matthew Perry,Germany,29000000,20146150,Denzel Washington,Joaquin Phoenix
K-19: The Widowmaker,Drama,"July 19, 2002 (United States)",6.7,Harrison Ford,United Kingdom,100000000,65716126,Matt Damon,Viola Davis
Stuart Little 2,Animation,"July 19, 2002 (United States)",5.5,Michael J. Fox,United States,120000000,169956806,Jake Gyllenhaal,Emily Blunt
Igby Goes Down,Comedy,"October 4, 2002 (United States)",6.9,Kieran Culkin,United States,9000000,6919198,Joaquin Phoenix,Anne Hathaway
Rollerball,Action,"February 8, 2002 (United States)",3.1,Chris Klein,United States,70000000,25852764,Colin Firth,Reese Witherspoon
Changing Lanes,Drama,"April 12, 2002 (United States)",6.5,Ben Affleck,United States,45000000,94935764,Daniel Day-Lewis,Morgan Freeman
White Oleander,Drama,"October 11, 2002 (United States)",7.1,Michelle Pfeiffer,United States,16000000,21672284,Leonardo DiCaprio,Tom Cruise
Below,Action,"October 18, 2002 (United States)",6.2,Bruce Greenwood,United States,40000000,2622015,Tilda Swinton,Hugh Jackman
Big Trouble,Comedy,"April 5, 2002 (United States)",6.5,Tim Allen,United States,40000000,8493890,Benedict Cumberbatch,Will Smith
Far from Heaven,Drama,"January 10, 2003 (United States)",7.4,Julianne Moore,United States,13500000,29027914,Jennifer Aniston,Johnny Depp
Bubba Ho-Tep,Comedy,"October 10, 2003 (United States)",7.0,Bruce Campbell,United States,1000000,1239183,Jennifer Aniston,Kate Winslet
S1m0ne,Comedy,"August 23, 2002 (United States)",6.1,Al Pacino,United States,10000000,19576023,Will Smith,Kate Winslet
Auto Focus,Biography,"November 1, 2002 (United States)",6.6,Greg Kinnear,United States,7000000,2704951,Scarlett Johansson,Emily Blunt
Blood Work,Action,"August 9, 2002 (United States)",6.4,Clint Eastwood,United States,50000000,31794718,Emma Stone,Amy Adams
Collateral Damage,Action,"February 8, 2002 (United States)",5.5,Arnold Schwarzenegger,United States,85000000,78382433,Charlize Theron,Cate Blanchett
Undisputed,Action,"August 23, 2002 (United States)",6.2,Wesley Snipes,United States,20000000,14946150,Natalie Portman,Saoirse Ronan
The Salton Sea,Crime,"June 21, 2002 (Ireland)",7.1,Val Kilmer,United States,18000000,1073198,Reese Witherspoon,Leonardo DiCaprio
Ju-on: The Grudge,Horror,"January 25, 2003 (Japan)",6.7,Megumi Okina,Japan,3500000,3657876,Ryan Gosling,Ryan Gosling
Barbershop,Comedy,"September 13, 2002 (United States)",6.3,Ice Cube,United States,12000000,77063924,Leonardo DiCaprio,Jake Gyllenhaal
Whale Rider,Drama,"August 29, 2003 (United States)",7.5,Keisha Castle-Hughes,New Zealand,3500000,41062976,Saoirse Ronan,Joaquin Phoenix
Rabbit-Proof Fence,Adventure,"January 31, 2003 (United States)",7.4,Everlyn Sampi,Australia,6000000,16217411,Idris Elba,Will Smith
Trapped,Action,"September 20, 2002 (United States)",6.2,Kevin Bacon,United States,30000000,13414416,Christian Bale,Javier Bardem
Narc,Crime,"January 10, 2003 (United States)",7.1,Ray Liotta,United States,6500000,12633747,Scarlett Johansson,Ryan Gosling
Dark Blue,Crime,"February 21, 2003 (United States)",6.6,Kurt Russell,United States,15000000,12150301,Chris Evans,Nicole Kidman
Dahmer,Biography,2019 (United States),5.6,Jeremy Renner,United States,250000,144008,Anne Hathaway,Saoirse Ronan
Boat Trip,Comedy,"March 21, 2003 (United States)",4.9,Cuba Gooding Jr.,United States,20000000,15020293,Julia Roberts,Jennifer Lawrence
Nicholas Nickleby,Adventure,"June 27, 2003 (United Kingdom)",7.1,Charlie Hunnam,United Kingdom,10000000,3651462,Robert De Niro,Tom Hanks
Bad Company,Action,"June 7, 2002 (United States)",5.6,Anthony Hopkins,United States,70000000,66200782,Christian Bale,Cate Blanchett
Spider,Drama,"November 13, 2002 (France)",6.8,Ralph Fiennes,Canada,10000000,5808941,Johnny Depp,Kate Winslet
Snow Dogs,Adventure,"January 18, 2002 (United States)",5.2,Cuba Gooding Jr.,Canada,33000000,115035090,Jake Gyllenhaal,Benedict Cumberbatch
The Quiet American,Drama,"March 7, 2003 (United States)",7.1,Michael Caine,United Kingdom,30000000,27674124,Brad Pitt,Angelina Jolie
The Santa Clause 2,Comedy,"November 1, 2002 (United States)",5.7,Tim Allen,United States,65000000,172855065,Scarlett Johansson,Angelina Jolie
Slackers,Comedy,"February 1, 2002 (United States)",5.4,Devon Sawa,Canada,14000000,6413915,Joaquin Phoenix,Johnny Depp
Sorority Boys,Comedy,"March 22, 2002 (United States)",5.5,Barry Watson,United States,12000000,12517488,Joaquin Phoenix,Angelina Jolie
The Country Bears,Comedy,"July 26, 2002 (United States)",4.2,Haley Joel Osment,United States,35000000,18012097,Reese Witherspoon,Denzel Washington
All About the Benjamins,Action,"March 8, 2002 (United States)",5.9,Ice Cube,United States,15000000,26306533,Ryan Gosling,Samuel L. Jackson
Abandon,Drama,"October 18, 2002 (United States)",4.9,Katie Holmes,United States,25000000,12302219,Emma Stone,Jennifer Aniston
Gerry,Adventure,"September 20, 2002 (Greece)",6.1,Casey Affleck,United States,3500000,254683,Tilda Swinton,Emma Stone
Clockstoppers,Action,"March 29, 2002 (United States)",5.2,Jesse Bradford,United States,26000000,38793283,Benedict Cumberbatch,Morgan Freeman
Peter Pan 2: Return to Never Land,Animation,"February 15, 2002 (United States)",5.8,Blayne Weaver,United States,20000000,115121981,Robert De Niro,Sandra Bullock
Poolhall Junkies,Comedy,"February 28, 2003 (United States)",6.9,Mars Callahan,United States,4000000,563711,Christian Bale,Lupita Nyong'o
Feardotcom,Crime,"August 30, 2002 (United States)",3.4,Stephen Dorff,United Kingdom,40000000,18902015,Rachel McAdams,Mark Ruffalo
No Good Deed,Crime,"November 20, 2014 (Germany)",5.4,Samuel L. Jackson,Germany,12000000,1440653,Denzel Washington,Tom Hanks
Darkness,Horror,"December 25, 2004 (United States)",5.4,Anna Paquin,United States,10600000,33988736,Julia Roberts,Javier Bardem
Analyze That,Comedy,"December 6, 2002 (United States)",5.9,Robert De Niro,United States,60000000,55003135,Tilda Swinton,Octavia Spencer
The Banger Sisters,Comedy,"September 20, 2002 (United States)",5.6,Susan Sarandon,United States,10000000,38068353,Denzel Washington,Benedict Cumberbatch
The Wild Thornberrys,Animation,"December 20, 2002 (United States)",5.6,Tim Curry,United States,25000000,60694737,Tom Cruise,Marion Cotillard
The Adventures of Pluto Nash,Action,"August 16, 2002 (United States)",3.8,Eddie Murphy,United States,100000000,7103973,Angelina Jolie,George Clooney
Eight Crazy Nights,Animation,"November 27, 2002 (United States)",5.3,Adam Sandler,United States,34000000,23833131,Will Smith,Tom Hanks
Full Frontal,Comedy,"August 2, 2002 (United States)",4.7,Julia Roberts,United States,2000000,3438804,Matt Damon,Will Smith
Moonlight Mile,Drama,"October 4, 2002 (United States)",6.6,Jake Gyllenhaal,United States,21000000,10011050,Leonardo DiCaprio,Octavia Spencer
Half Past Dead,Action,"November 15, 2002 (United States)",4.6,Morris Chestnut,United States,13000000,19233280,Tom Cruise,Hugh Jackman
Life or Something Like It,Comedy,"April 26, 2002 (United States)",5.8,Angelina Jolie,United States,40000000,16872671,Kate Winslet,Ryan Gosling
Showtime,Action,"March 15, 2002 (United States)",5.5,Robert De Niro,United States,85000000,77885672,Sandra Bullock,Benedict Cumberbatch
Ted Bundy,Biography,"November 22, 2002 (United Kingdom)",5.8,Michael Reilly Burke,United Kingdom,1200000,68716,Michael Fassbender,Idris Elba
Ballistic: Ecks vs. Sever,Action,"September 20, 2002 (United States)",3.7,Antonio Banderas,United States,70000000,20154899,Jake Gyllenhaal,Angelina Jolie
Brown Sugar,Comedy,"October 11, 2002 (United States)",6.5,Taye Diggs,United States,8000000,28316451,Rachel McAdams,Leonardo DiCaprio
Deuces Wild,Action,"May 3, 2002 (United States)",5.6,Stephen Dorff,United States,10000000,6282446,Tilda Swinton,Johnny Depp
The Emperor's Club,Drama,"November 22, 2002 (United States)",6.9,Kevin Kline,United States,12500000,16318449,Amy Adams,Marion Cotillard
All or Nothing,Drama,"October 18, 2002 (United Kingdom)",7.5,Timothy Spall,United Kingdom,9000000,2845696,Denzel Washington,Benedict Cumberbatch
Real Women Have Curves,Comedy,"November 8, 2002 (United States)",6.9,America Ferrera,United States,3000000,7777790,Leonardo DiCaprio,Nicole Kidman
The Crocodile Hunter: Collision Course,Action,"July 12, 2002 (United States)",5.4,Steve Irwin,Australia,12000000,33082548,Robert De Niro,Morgan Freeman
Possession,Drama,"August 30, 2002 (United States)",6.3,Gwyneth Paltrow,United Kingdom,25000000,14815898,Julia Roberts,Matt Damon
City by the Sea,Crime,"September 6, 2002 (United States)",6.1,Robert De Niro,United States,40000000,29676703,Samuel L. Jackson,Hugh Jackman
Heaven,Crime,"February 21, 2002 (Germany)",7.0,Cate Blanchett,United Kingdom,11000000,4247089,Kate Winslet,Joaquin Phoenix
Kill Bill: Vol. 1,Action,"October 10, 2003 (United States)",8.1,Uma Thurman,United States,30000000,180906076,Samuel L. Jackson,Joaquin Phoenix
Pirates of the Caribbean: the Curse of the Black Pearl,Action,"July 9, 2003 (United States)",8.0,Johnny Depp,United States,140000000,654264015,Idris Elba,Joaquin Phoenix
The Lord of the Rings: The Return of the King,Action,"December 17, 2003 (United States)",8.9,Elijah Wood,New Zealand,94000000,1146030912,Hugh Jackman,Hugh Jackman
Old School,Comedy,"February 21, 2003 (United States)",7.1,Luke Wilson,United States,24000000,87135520,Brad Pitt,Amy Adams
Mystic River,Crime,"October 15, 2003 (United States)",7.9,Sean Penn,United States,25000000,156595191,Joaquin Phoenix,Brad Pitt
Love Actually,Comedy,"November 14, 2003 (United States)",7.6,Hugh Grant,United Kingdom,40000000,245203167,Jake Gyllenhaal,Chris Evans
The Life of David Gale,Crime,"February 21, 2003 (United States)",7.5,Kevin Spacey,United States,38000000,38955598,Amy Adams,Jennifer Lawrence
2 Fast 2 Furious,Action,"June 6, 2003 (United States)",5.9,Paul Walker,United States,76000000,236350661,Jennifer Lawrence,Cate Blanchett
